pyGUID,pyCategory,pyKeyString,pyActualValue,SortingOrder,pyRowNumber,pyAdditionalText
,EvidenceType,EvidenceOfOwnership,Evidence of Ownership,,,
,EvidenceType,ImageOfDamagedItem,Image of Damaged Item,,,
,EvidenceType,ProofOfPurchase,Proof of Purchase,,,
,EvidenceType,OE,Other Evidence,,,
,GenericTrueFalse,FALSE,FALSE,,,
,GenericTrueFalse,TRUE,TRUE,,,
,GenericYesNo,No,No,,,
,GenericYesNo,Yes,Yes,,,
,ItemType,CL,Clothing,,,
,ItemType,SE,Sports Equipment,,,
,ItemType,FU,Furniture,,,
,ItemType,OTH,Other,,,
,ItemType,EL,Electronics,,,
,LossLocation,PHA,Same as my address,1,,
,LossLocation,DL,A different location,3,,
,LossLocation,ODE,On deployment or exercise,2,,
,LossType,OTH,Other,,,
,LossType,TH,Theft,,,
,LossType,FI,Fire,,,
,LossType,DSLA,Damage to my SLA (single living accommodation),,,
,LossType,LO,Loss,,,
,LossType,DA,Damage,,,
,LossType,WD,Water Damage,,,
,LossType,DSFA,Damage to my SFA (service family accommodation),,,
,Product,MKCPP,Military Kit Contents and Personal Possessions,,,
,Relationship,PH,Policyholder,1,1,
,Relationship,DP,Dependent,3,3,
,Relationship,SP,Spouse,2,2,
,Relationship,AP,Authorised Person,4,4,
,Relationship,OTH,Other (if applicable),5,5,
,ItemCoverType,MEP,"Military Service Uniform, Equipment and Personally Purchased Kit",1,,
,ItemCoverType,VPP,Valuables and Personal Possessions,2,,
,ItemCoverType,CON,Contents,3,,
,ItemCoverType,PEL,Personal Liability,4,,
,ItemCoverType,MCCC,Money and Credit Card Cover,5,,
,ItemCoverType,PECY,Pedal Cycles,6,,
,ItemCoverType,LTO,Licence to Occupy,7,,
,ItemType,MK,Military Kit,1,,
,ItemType,PPK,Personally Purchased Kit,2,,
,ItemType,MP,Mobile Phone,3,,
,ItemType,JEW,Jewellery,4,,
,ItemType,VAL,Valuables,5,,
,ItemType,FHI,Furniture / Household Items,6,,
,ItemType,BEL,Bedding & Linen,7,,
,ItemType,CLU,Clothing & Uniform,8,,
,ItemType,FTW,Footwear,9,,
,ItemType,SPE,Sports Equipment,10,,
,ItemType,CYC,Cycling Equipment,11,,
,ItemType,OPE,Optical Equipment,12,,
,ItemType,WAT,Watches,13,,
,ItemType,BAL,Bags & Luggage,14,,
,ItemType,TOE,Tools & Equipment,15,,
,ItemType,OTH,Other,16,,
